# a b c d e f
 0 21.5 21.4 3.90 04.10 0
 1 22.4 21.3 3.40 05.50 120
 2 23.9 20.0 3.60 05.75 125
 3 25.5 18.5 3.70 06.00 126
 4 27.1 17.1 3.75 06.25 128
 5 28.6 16.1 3.60 06.50 128
 6 30.2 15.1 3.45 06.75 125
 7 31.7 14.2 3.30 07.00 123
 8 33.1 13.2 3.20 07.50 122
 9 34.4 12.2 3.00 07.75 122
10 35.7 11.3 2.95 08.00 124
11 36.9 10.3 2.80 08.25 125
12 38.0  9.4 2.70 08.50 125
13 39.1  8.5 2.60 09.00 125
14 40.1  7.7 2.50 09.00 126
15 41.1  6.9 2.40 09.50 128
16 42.0  6.1 2.40 09.75 128
17 42.9  5.4 2.30 10.00 115
18 43.8  4.6 2.20 10.25 115
19 44.6  3.9 2.20 10.50 115
20 45.3  3.3 2.10 10.75 115
21 46.1  2.6 2.00 11.00 115
22 46.8  2.0 2.00 11.00 115
23 47.5  1.4 2.00 11.25 115
24 48.1  0.9 1.95 11.50 115
25 48.8  0.3 1.90 11.75 115
26 49.4  0.2 1.80 12.00 115
27 50.0 -0.7 1.80 12.00 115
28 50.6 -1.2 1.80 12.25 115


