# a b c d
09 1.08 0.56 107.0
11 1.12 0.56 088.0
13 1.16 0.56 075.0
15 1.22 0.54 065.2
17 1.30 0.56 056.8
19 1.40 0.54 050.4
21 1.56 0.56 045.6
23 1.72 0.56 041.2
25 1.96 0.56 037.6
27 2.36 1.04 034.0
29 2.84 0.96 031.2
30 3.08 1.00 029.2
31 3.40 1.00 027.6
32 3.64 1.00 025.6
33 3.72 1.00 024.0
34 3.76 1.00 022.0
35 3.56 1.00 020.4
36 3.24 1.00 019.2
37 2.92 1.00 018.0
38 2.60 1.00 016.4
39 2.28 1.00 016.0
41 1.80 1.00 014.4
43 1.48 1.04 013.6
45 1.20 1.04 012.8
47 0.98 0.52 011.6
49 0.84 0.52 011.2
51 0.74 0.52 010.8
53 0.64 0.52 010.4
55 0.59 0.21 009.6
57 0.54 0.21 009.2
59 0.49 0.21 008.8
